Smithfield 2E,2020-07-22 11:00:00 CDT,74°F,69°F,83%,74°F,642W/m^2,9MPH,ESE,1014mb,,,0.00"
Sparks 5NE,2020-07-22 11:00:00 CDT,78°F,67°F,69%,69°F,689W/m^2,12MPH,SSE,1013mb,,,0.00"
Walton 5NW,2020-07-22 11:00:00 CDT,79°F,67°F,65%,76°F,748W/m^2,5MPH,S,1016mb,,,0.00"
West Point 2W,2020-07-22 11:00:00 CDT,77°F,66°F,68%,75°F,544W/m^2,6MPH,SSW,1016mb,,,0.00"
Whitman 5NE,2020-07-22 10:00:00 MDT,76°F,67°F,73%,68°F,689W/m^2,13MPH,SSE,1012mb,,,0.00"
Winslow 6E,2020-07-22 11:00:00 CDT,77°F,65°F,68%,73°F,640W/m^2,5MPH,SSE,1017mb,,,0.00"
Wood River 5SE,2020-07-22 11:00:00 CDT,74°F,66°F,78%,74°F,296W/m^2,6MPH,SE,1015mb,,,0.00"
York 2W,2020-07-22 11:00:00 CDT,77°F,67°F,71%,75°F,274W/m^2,4MPH,ESE,1016mb,,,0.00"
Ainsworth 2NE,2020-07-22 12:00:00 CDT,77°F,66°F,69%,86°F,810W/m^2,11MPH,SSE,1014mb,,,0.00"
Alda 3W,2020-07-22 12:00:00 CDT,77°F,69°F,76%,77°F,482W/m^2,7MPH,SE,1015mb,,,0.00"
Alliance 6NW,2020-07-22 11:00:00 MDT,76°F,63°F,62%,73°F,809W/m^2,7MPH,S,1010mb,,,0.00"
Arthur 8S,2020-07-22 11:00:00 MDT,80°F,68°F,67%,77°F,939W/m^2,12MPH,SSE,1010mb,81°F,,0.00"
Axtell 5NE,2020-07-22 12:00:00 CDT,79°F,71°F,76%,75°F,1151W/m^2,8MPH,SE,1014mb,80°F,,0.00"
Big Springs 8NE,2020-07-22 11:00:00 MDT,76°F,67°F,72%,74°F,306W/m^2,7MPH,SSE,1011mb,,,0.00"
Broadwater 7N,2020-07-22 11:00:00 MDT,76°F,63°F,65%,77°F,809W/m^2,6MPH,SE,1010mb,,,0.00"
Brule 6SW,2020-07-22 11:00:00 MDT,78°F,68°F,72%,77°F,1017W/m^2,7MPH,SE,1012mb,,,0.00"
Central City 3W,2020-07-22 12:00:00 CDT,76°F,66°F,71%,77°F,611W/m^2,7MPH,ESE,1015mb,,,0.00"
Champion 5SE,2020-07-22 11:00:00 MDT,83°F,67°F,58%,74°F,822W/m^2,11MPH,SSE,1010mb,86°F,,0.00"
Concord 2E,2020-07-22 12:00:00 CDT,77°F,64°F,65%,74°F,857W/m^2,5MPH,SSW,1017mb,,,0.00"
Cozad 8N,2020-07-22 12:00:00 CDT,78°F,71°F,79%,72°F,841W/m^2,7MPH,SSE,1012mb,,,0.00"
Curtis 1N,2020-07-22 12:00:00 CDT,82°F,71°F,70%,76°F,785W/m^2,10MPH,SE,1011mb,86°F,,0.00"
Decatur 7S,2020-07-22 12:00:00 CDT,80°F,62°F,55%,76°F,966W/m^2,2MPH,ENE,1015mb,80°F,,0.00"
Dickens 1NE,2020-07-22 12:00:00 CDT,82°F,68°F,64%,77°F,797W/m^2,16MPH,SE,1011mb,85°F,,0.00"
Dunning 6NW,2020-07-22 12:00:00 CDT,78°F,67°F,69%,72°F,861W/m^2,13MPH,SSE,1013mb,,,0.00"
Eagle 3NW Beta,2020-07-22 12:00:00 CDT,81°F,69°F,66%,77°F,804W/m^2,3MPH,SW,1015mb,84°F,,0.00"
Elgin 6W,2020-07-22 12:00:00 CDT,75°F,65°F,72%,74°F,481W/m^2,6MPH,SE,1016mb,,,0.00"
Emmet 2E,2020-07-22 12:00:00 CDT,80°F,65°F,59%,82°F,792W/m^2,8MPH,S,1013mb,82°F,,0.00"
Firth 3N,2020-07-22 12:00:00 CDT,81°F,68°F,65%,76°F,820W/m^2,3MPH,ESE,1016mb,83°F,,0.00"
Fordyce 4N,2020-07-22 12:00:00 CDT,79°F,60°F,52%,79°F,828W/m^2,11MPH,S,1016mb,,,0.00"
Gordon 4SE,2020-07-22 11:00:00 MDT,80°F,65°F,59%,71°F,813W/m^2,12MPH,S,1009mb,82°F,,"0.00"
Gothenburg 2NW,2020-07-22 12:00:00 CDT,78°F,70°F,76%,75°F,868W/m^2,14MPH,SSE,1012mb,,,0.00"
Grant 1E,2020-07-22 11:00:00 MDT,81°F,67°F,63%,74°F,856W/m^2,9MPH,SSE,1010mb,84°F,,0.00"
Guide Rock 3E,2020-07-22 12:00:00 CDT,80°F,71°F,76%,76°F,166W/m^2,9MPH,SE,1014mb,83°F,,0.00"
Harrison 4NW,2020-07-22 11:00:00 MDT,78°F,59°F,52%,67°F,832W/m^2,14MPH,S,1008mb,,,0.00"
Harvard 4SW,2020-07-22 12:00:00 CDT,79°F,70°F,75%,75°F,840W/m^2,6MPH,SE,1015mb,,,0.00"
Hayes Center 3N,2020-07-22 12:00:00 CDT,82°F,69°F,65%,77°F,839W/m^2,13MPH,SSE,1010mb,85°F,,0.00"
Holdrege 5N,2020-07-22 12:00:00 CDT,77°F,71°F,82%,74°F,480W/m^2,8MPH,SE,1013mb,,,0.00"
Indianola 8SW,2020-07-22 12:00:00 CDT,82°F,68°F,62%,79°F,848W/m^2,14MPH,SSE,1011mb,85°F,,0.00"
Kearney 3E,2020-07-22 12:00:00 CDT,78°F,69°F,75%,74°F,588W/m^2,10MPH,SE,1014mb,,,0.01"
Keystone 4W,2020-07-22 11:00:00 MDT,81°F,67°F,61%,72°F,812W/m^2,16MPH,S,1010mb,84°F,,0.00"
Leigh 1W,2020-07-22 12:00:00 CDT,75°F,64°F,68%,77°F,314W/m^2,5MPH,SE,1016mb,,,0.00"
Lexington 4S,2020-07-22 12:00:00 CDT,80°F,71°F,74%,76°F,924W/m^2,7MPH,SE,1013mb,83°F,,0.00"
Lincoln 1500 N 45th,2020-07-22 12:00:00 CDT,83°F,64°F,53%,82°F,812W/m^2,4MPH,S,1016mb,84°F,,0.00"
Lincoln 1700 N 10th,2020-07-22 12:00:00 CDT,83°F,61°F,48%,81°F,875W/m^2,3MPH,SSW,1016mb,83°F,,0.00"
Lincoln 5700 S 27th,2020-07-22 12:00:00 CDT,82°F,64°F,54%,79°F,836W/m^2,1MPH,SE,1016mb,83°F,,0.00"
Lincoln 9100 S 78th,2020-07-22 12:00:00 CDT,80°F,64°F,59%,77°F,841W/m^2,5MPH,SE,1016mb,81°F,,0.00"
Long Pine 20S,2020-07-22 12:00:00 CDT,76°F,65°F,69%,77°F,812W/m^2,11MPH,SSE,1014mb,,,0.00"
Memphis 4N,2020-07-22 12:00:00 CDT,81°F,64°F,57%,82°F,817W/m^2,2MPH,ESE,1016mb,82°F,,0.00"
Memphis 5N,2020-07-22 12:00:00 CDT,82°F,64°F,55%,79°F,798W/m^2,3MPH,S,1016mb,83°F,,0.00"
Merna 2SW,2020-07-22 12:00:00 CDT,78°F,69°F,74%,73°F,876W/m^2,8MPH,SE,1013mb,,,0.00"
Mullen 30N,2020-07-22 11:00:00 MDT,80°F,67°F,66%,70°F,817W/m^2,11MPH,S,,82°F,,0.00"
Naper 12SW,2020-07-22 12:00:00 CDT,79°F,65°F,62%,80°F,803W/m^2,12MPH,SSE,1013mb,,,0.00"
Nebraska City 3NW,2020-07-22 12:00:00 CDT,81°F,66°F,61%,81°F,917W/m^2,1MPH,S,1016mb,83°F,,0.00"
North Platte 3SW Beta,2020-07-22 12:00:00 CDT,82°F,69°F,64%,80°F,848W/m^2,10MPH,SE,1011mb,86°F,,0.00"
Oakland 4W,2020-07-22 12:00:00 CDT,79°F,62°F,56%,79°F,1119W/m^2,1MPH,ESE,1016mb,,,0.00"
Ord 2N,2020-07-22 12:00:00 CDT,73°F,65°F,75%,74°F,490W/m^2,8MPH,SE,1016mb,,,0.00"
Oshkosh 6N,2020-07-22 11:00:00 MDT,78°F,65°F,64%,82°F,832W/m^2,11MPH,SE,1010mb,,,0.00"
Overton 6SE,2020-07-22 12:00:00 CDT,79°F,71°F,76%,74°F,1270W/m^2,9MPH,SSE,1013mb,81°F,,0.00"
Pierce 2SW,2020-07-22 12:00:00 CDT,78°F,64°F,63%,78°F,980W/m^2,5MPH,S,1015mb,,,0.00"
Plattsmouth 2SE,2020-07-22 12:00:00 CDT,80°F,66°F,64%,80°F,862W/m^2,3MPH,ENE,1016mb,,,0.00"
Plymouth 4E,2020-07-22 12:00:00 CDT,81°F,70°F,69%,77°F,844W/m^2,5MPH,ESE,1015mb,85°F,,0.00"
Ragan 5W,2020-07-22 12:00:00 CDT,79°F,71°F,76%,77°F,604W/m^2,8MPH,SE,1014mb,,,0.00"
Rulo 5SW,2020-07-22 12:00:00 CDT,81°F,71°F,72%,80°F,858W/m^2,2MPH,ENE,1016mb,86°F,,0.00"
Scottsbluff 2NW,2020-07-22 11:00:00 MDT,76°F,62°F,62%,75°F,813W/m^2,5MPH,SSE,1010mb,,,0.00"
Scottsbluff 6NW,2020-07-22 11:00:00 MDT,75°F,62°F,65%,79°F,827W/m^2,7MPH,SE,1010mb,,,0.00"
Shelton 2SW,2020-07-22 12:00:00 CDT,74°F,70°F,87%,76°F,360W/m^2,4MPH,ESE,1015mb,,,0.01"
Sidney 2NW,2020-07-22 11:00:00 MDT,74°F,63°F,69%,72°F,390W/m^2,6MPH,SSE,1011mb,,,0.00"
Smithfield 2E,2020-07-22 12:00:00 CDT,80°F,72°F,77%,75°F,860W/m^2,8MPH,SSE,1013mb,84°F,,0.00"
Sparks 5NE,2020-07-22 12:00:00 CDT,80°F,68°F,66%,71°F,806W/m^2,13MPH,SSE,1012mb,83°F,,0.00"
Walton 5NW,2020-07-22 12:00:00 CDT,82°F,65°F,56%,78°F,854W/m^2,5MPH,ESE,1016mb,83°F,,0.00"
West Point 2W,2020-07-22 12:00:00 CDT,77°F,68°F,74%,76°F,296W/m^2,4MPH,SSW,1016mb,,,0.00"
Whitman 5NE,2020-07-22 11:00:00 MDT,78°F,67°F,69%,69°F,965W/m^2,15MPH,SSE,1011mb,,,0.00"
Winslow 6E,2020-07-22 12:00:00 CDT,79°F,64°F,60%,74°F,802W/m^2,4MPH,SSW,1017mb,,,0.00"
Wood River 5SE,2020-07-22 12:00:00 CDT,75°F,68°F,79%,76°F,213W/m^2,6MPH,SE,1014mb,,,0.00"
York 2W,2020-07-22 12:00:00 CDT,77°F,67°F,71%,76°F,374W/m^2,4MPH,ESE,1015mb,,,0.00"
Ainsworth 2NE,2020-07-22 13:00:00 CDT,79°F,67°F,67%,91°F,881W/m^2,11MPH,SSE,1013mb,,,0.00"
Alda 3W,2020-07-22 13:00:00 CDT,78°F,69°F,73%,78°F,569W/m^2,7MPH,ESE,1015mb,,,0.00"
Alliance 6NW,2020-07-22 12:00:00 MDT,81°F,63°F,54%,74°F,877W/m^2,10MPH,SE,1009mb,82°F,,0.00"
Arthur 8S,2020-07-22 12:00:00 MDT,82°F,67°F,61%,81°F,904W/m^2,13MPH,SSE,1009mb,85°F,,0.00"
Axtell 5NE,2020-07-22 13:00:00 CDT,82°F,73°F,74%,78°F,1117W/m^2,8MPH,SE,1013mb,87°F,,0.00"
Big Springs 8NE,2020-07-22 12:00:00 MDT,80°F,67°F,64%,75°F,989W/m^2,10MPH,SSE,1010mb,83°F,,0.00"
Broadwater 7N,2020-07-22 12:00:00 MDT,78°F,63°F,60%,82°F,885W/m^2,9MPH,SSE,1009mb,,,0.00"
Brule 6SW,2020-07-22 12:00:00 MDT,81°F,69°F,67%,81°F,895W/m^2,4MPH,SSE,1010mb,84°F,,0.00"
Central City 3W,2020-07-22 13:00:00 CDT,78°F,69°F,72%,81°F,419W/m^2,8MPH,E,1015mb,,,0.00"
Champion 5SE,2020-07-22 12:00:00 MDT,87°F,67°F,52%,76°F,899W/m^2,13MPH,SSE,1008mb,90°F,,0.00"
Concord 2E,2020-07-22 13:00:00 CDT,79°F,63°F,58%,76°F,793W/m^2,3MPH,SSE,1016mb,,,0.00"
Cozad 8N,2020-07-22 13:00:00 CDT,82°F,71°F,70%,73°F,935W/m^2,11MPH,SE,1011mb,86°F,,0.00"
Curtis 1N,2020-07-22 13:00:00 CDT,83°F,70°F,66%,78°F,921W/m^2,13MPH,SE,1011mb,88°F,,0.00"
Decatur 7S,2020-07-22 13:00:00 CDT,80°F,60°F,50%,78°F,346W/m^2,2MPH,ESE,1015mb,81°F,,0.00"
Dickens 1NE,2020-07-22 13:00:00 CDT,84°F,69°F,61%,79°F,901W/m^2,17MPH,SE,1010mb,88°F,,0.00"
Dunning 6NW,2020-07-22 13:00:00 CDT,81°F,69°F,68%,74°F,890W/m^2,13MPH,SSE,1012mb,84°F,,0.00"
Eagle 3NW Beta,2020-07-22 13:00:00 CDT,81°F,67°F,64%,80°F,720W/m^2,5MPH,SE,1015mb,83°F,,0.00"
Elgin 6W,2020-07-22 13:00:00 CDT,76°F,66°F,72%,76°F,872W/m^2,7MPH,SE,1016mb,,,0.00"
Emmet 2E,2020-07-22 13:00:00 CDT,81°F,66°F,60%,86°F,859W/m^2,10MPH,SSE,1012mb,83°F,,0.00"
Firth 3N,2020-07-22 13:00:00 CDT,82°F,69°F,64%,78°F,1082W/m^2,1MPH,SSE,1015mb,85°F,,0.00"
Fordyce 4N,2020-07-22 13:00:00 CDT,80°F,60°F,50%,83°F,695W/m^2,4MPH,SW,1016mb,80°F,,0.00"
Gordon 4SE,2020-07-22 12:00:00 MDT,82°F,64°F,55%,73°F,888W/m^2,13MPH,SSE,1008mb,84°F,,0.00"
Gothenburg 2NW,2020-07-22 13:00:00 CDT,83°F,68°F,61%,78°F,831W/m^2,14MPH,SSE,1011mb,86°F,,0.00"
Grant 1E,2020-07-22 12:00:00 MDT,84°F,67°F,58%,76°F,893W/m^2,12MPH,SSE,1009mb,86°F,,0.00"
Guide Rock 3E,2020-07-22 13:00:00 CDT,82°F,73°F,75%,77°F,530W/m^2,8MPH,ESE,1014mb,87°F,,0.02"
Harrison 4NW,2020-07-22 12:00:00 MDT,81°F,59°F,48%,71°F,921W/m^2,11MPH,S,1007mb,82°F,,0.00"
Harvard 4SW,2020-07-22 13:00:00 CDT,78°F,71°F,80%,77°F,354W/m^2,5MPH,ESE,1015mb,,,0.00"
Hayes Center 3N,2020-07-22 13:00:00 CDT,84°F,69°F,60%,79°F,966W/m^2,15MPH,SE,1009mb,88°F,,0.00"
Holdrege 5N,2020-07-22 13:00:00 CDT,80°F,72°F,76%,75°F,968W/m^2,12MPH,SSE,1013mb,84°F,,0.00"
Indianola 8SW,2020-07-22 13:00:00 CDT,84°F,71°F,65%,82°F,932W/m^2,15MPH,SE,1011mb,88°F,,0.00"
Kearney 3E,2020-07-22 13:00:00 CDT,81°F,70°F,69%,76°F,1044W/m^2,9MPH,SE,1013mb,85°F,,0.00"
Keystone 4W,2020-07-22 12:00:00 MDT,81°F,67°F,64%,74°F,361W/m^2,8MPH,SSE,1010mb,83°F,,0.00"
Leigh 1W,2020-07-22 13:00:00 CDT,79°F,64°F,60%,78°F,518W/m^2,8MPH,SE,1016mb,,,0.00"
Lexington 4S,2020-07-22 13:00:00 CDT,82°F,71°F,69%,78°F,893W/m^2,8MPH,SE,1012mb,87°F,,0.00"
Lincoln 1500 N 45th,2020-07-22 13:00:00 CDT,83°F,67°F,58%,86°F,608W/m^2,4MPH,SSE,1016mb,86°F,,0.00"
Lincoln 1700 N 10th,2020-07-22 13:00:00 CDT,84°F,64°F,51%,83°F,671W/m^2,3MPH,SSE,1016mb,85°F,,0.00"
Lincoln 5700 S 27th,2020-07-22 13:00:00 CDT,82°F,66°F,59%,81°F,495W/m^2,0MPH,E,1016mb,84°F,,0.00"
Lincoln 9100 S 78th,2020-07-22 13:00:00 CDT,81°F,64°F,57%,79°F,656W/m^2,4MPH,SE,1016mb,82°F,,0.00"
Long Pine 20S,2020-07-22 13:00:00 CDT,78°F,67°F,68%,80°F,869W/m^2,14MPH,SSE,1013mb,,,0.00"
Memphis 4N,2020-07-22 13:00:00 CDT,82°F,65°F,56%,85°F,1002W/m^2,3MPH,E,1016mb,83°F,,0.00"
Memphis 5N,2020-07-22 13:00:00 CDT,83°F,62°F,50%,82°F,930W/m^2,1MPH,ESE,1015mb,84°F,,0.00"
Merna 2SW,2020-07-22 13:00:00 CDT,79°F,70°F,74%,74°F,719W/m^2,10MPH,ESE,1013mb,,,0.00"
Mullen 30N,2020-07-22 12:00:00 MDT,82°F,68°F,62%,72°F,1037W/m^2,13MPH,SSE,,85°F,,0.00"
Naper 12SW,2020-07-22 13:00:00 CDT,82°F,66°F,60%,84°F,862W/m^2,11MPH,SSE,1013mb,84°F,,0.00"
Nebraska City 3NW,2020-07-22 13:00:00 CDT,82°F,67°F,61%,83°F,918W/m^2,1MPH,SSW,1016mb,84°F,,0.00"
North Platte 3SW Beta,2020-07-22 13:00:00 CDT,84°F,68°F,60%,81°F,912W/m^2,11MPH,SSE,1010mb,87°F,,0.00"
Oakland 4W,2020-07-22 13:00:00 CDT,76°F,66°F,72%,81°F,201W/m^2,3MPH,SSE,1016mb,,,0.00"
Ord 2N,2020-07-22 13:00:00 CDT,76°F,66°F,73%,76°F,602W/m^2,7MPH,ESE,1015mb,,,0.00"
Oshkosh 6N,2020-07-22 12:00:00 MDT,82°F,65°F,58%,86°F,896W/m^2,10MPH,SSE,1009mb,84°F,,0.00"
Overton 6SE,2020-07-22 13:00:00 CDT,82°F,72°F,70%,76°F,1230W/m^2,9MPH,SSE,1012mb,87°F,,0.00"
Pierce 2SW,2020-07-22 13:00:00 CDT,78°F,64°F,61%,80°F,902W/m^2,3MPH,SE,1015mb,,,0.00"
Plattsmouth 2SE,2020-07-22 13:00:00 CDT,81°F,65°F,59%,83°F,1057W/m^2,4MPH,WSW,1016mb,83°F,,0.00"
Plymouth 4E,2020-07-22 13:00:00 CDT,82°F,70°F,68%,80°F,1072W/m^2,4MPH,SSE,1014mb,86°F,,0.00"
Ragan 5W,2020-07-22 13:00:00 CDT,83°F,71°F,66%,78°F,879W/m^2,8MPH,SE,1013mb,88°F,,0.00"
Rulo 5SW,2020-07-22 13:00:00 CDT,83°F,69°F,62%,82°F,915W/m^2,0MPH,NNW,1016mb,87°F,,0.00"
Scottsbluff 2NW,2020-07-22 12:00:00 MDT,79°F,63°F,57%,76°F,884W/m^2,7MPH,SE,1009mb,,,0.00"
Scottsbluff 6NW,2020-07-22 12:00:00 MDT,78°F,63°F,60%,80°F,898W/m^2,9MPH,SE,1009mb,,,0.00"
Shelton 2SW,2020-07-22 13:00:00 CDT,77°F,71°F,82%,77°F,498W/m^2,6MPH,ESE,1015mb,,,0.00"
Sidney 2NW,2020-07-22 12:00:00 MDT,78°F,63°F,60%,73°F,990W/m^2,9MPH,SE,1010mb,,,0.00"
Smithfield 2E,2020-07-22 13:00:00 CDT,82°F,71°F,70%,77°F,929W/m^2,10MPH,SSE,1012mb,86°F,,0.00"
Sparks 5NE,2020-07-22 13:00:00 CDT,82°F,69°F,64%,73°F,881W/m^2,14MPH,S,1011mb,85°F,,0.00"
Walton 5NW,2020-07-22 13:00:00 CDT,82°F,64°F,54%,81°F,577W/m^2,5MPH,ESE,1016mb,84°F,,0.00"
West Point 2W,2020-07-22 13:00:00 CDT,77°F,66°F,71%,78°F,348W/m^2,3MPH,SSE,1016mb,,,0.00"
Whitman 5NE,2020-07-22 12:00:00 MDT,80°F,68°F,67%,71°F,329W/m^2,10MPH,S,1011mb,83°F,,0.00"
Winslow 6E,2020-07-22 13:00:00 CDT,81°F,64°F,56%,76°F,1043W/m^2,2MPH,S,1016mb,82°F,,0.00"
Wood River 5SE,2020-07-22 13:00:00 CDT,78°F,70°F,77%,77°F,471W/m^2,7MPH,ESE,1014mb,,,0.00"
